content,rate,rate_label,time,user_name,subject_id,anime_title
"这是我目前为止看过最生动精良的3D动画了，奇怪的是作为乐队番，日常氛围曲比几首剧里的演唱曲更让我喜欢，这几首歌倒不是不好听只不过不是我喜欢的风格。
非要挑点骨头的话，几次演唱前的发言个人感觉有点长且拖沓了，就感觉剧情已经烘托到位了，小孩姐上台说：我知道你很急，但你先别急，你先听我说！！
前几集节奏很好，后面基本就是平稳落地。但作为近几年动不动就整烂活的日本动画，这部番已经赢太多，值得一看！",7,推荐,2026-4-11 20:59,Treiy,431767,girls band cry
不管是中指还是小指，我都不想认输,9,神作,2026-4-11 05:04,Tearalament,431767,girls band cry
香草486,8,力荐,2026-4-10 10:43,Mashiro,431767,girls band cry
收的一坨,5,不过不失,2026-4-10 06:14,AKNO,431767,girls band cry
台长的批判是对的,6,还行,2026-4-10 05:34,此用户已删除LMUR,431767,girls band cry
最后几集的观感真拉了，最后索然无味,6,还行,2026-4-10 03:13,绮罗星Kira,431767,girls band cry
曲子都好好听啊,8,力荐,2026-4-10 02:35,发芽的土豆,431767,girls band cry
东映一出手就是顶级的制作，剧情有点虎头蛇尾了,8,力荐,2026-4-9 22:21,Mai,431767,girls band cry
作画太强了,9,神作,2026-4-9 16:22,allende,431767,girls band cry
少女乐队，神奇吧,8,力荐,2026-4-8 23:37,鳄鱼代购,431767,girls band cry
突然就结尾了，太仓促了，3D的表现形式确实亮眼。,8,力荐,2026-4-8 17:40,江上客,431767,girls band cry
补，花田的魔法，东大妈的业界顶级3D，超洗脑摇滚的音乐，青春叛逆感拉爆的剧情，许多小细节铺垫27和hina的支线，最后和解也是显得意料之中，这才是真正的少女乐队,8,力荐,2026-4-8 17:23,出租的抚子,431767,girls band cry
很优秀的3d,8,力荐,2026-4-8 11:11,Sakurumi,431767,girls band cry
牢花，高开低走是这样写的，到最后也只是一部制作良好的音乐番,7,推荐,2026-4-8 08:15,Asteroid,431767,girls band cry
前几集还在无理取闹生闷气的小孩姐到了后面突然通情达理了（？）小孩姐和桃香在剧情里占的比重较多，导致486的问题直接被搁置了，后入团的俩直接当工具人使一笔带过。还有校园霸凌父母不理解这种现实问题只要BGM一响起来问题就迎刃而解了？实在对不上电波，理解不能，不过这最后两集绝对是发病了,6,还行,2026-4-8 03:47,Eutopia,431767,girls band cry
GBC你什么时候出第二季。我要听GBC的小曲。,7,推荐,2026-4-7 23:28,Okuma,431767,girls band cry
补标，值得一看，但如果结束在ep8评价会更好，收尾明显是草率了，小孩姐也难以共情,7,推荐,2026-4-7 16:58,mitsuha,431767,girls band cry
个人感觉在8分左右,8,力荐,2026-4-7 11:36,不跟风,431767,girls band cry
讲了一个老旧的故事。讲得一般。,8,力荐,2026-4-6 03:40,233fxr,431767,girls band cry
制作音乐剧情都可以,8,力荐,2026-4-5 11:47,madokami,431767,girls band cry
我恨你花田。前7集绝对是历史to50的水平，最后两集我觉得可以是2000名开外的水平行吗，我想不通为什么要讲加入公司再退出，还有你那个二百多粉丝的桥段究竟意味何，感觉你相当对不起我每周六放学回来看一遍原片看一遍泛式直播周日再看一遍切片啊，傻卵,9,神作,2026-4-4 00:23,秋笙声,431767,girls band cry
制作和歌曲还可以，但是不理解乐队的剧情，一般,6,还行,2026-4-3 11:25,英梨梨不会败北,431767,girls band cry
"274 4759
2024.4.6-2024.7.29",5,不过不失,2026-4-3 02:13,平泽唯唯,431767,girls band cry
正论怪兽,7,推荐,2026-4-3 01:19,xung,431767,girls band cry
自mygo后又一重力少女乐队佳作,8,力荐,2026-4-2 23:46,雨下花海,431767,girls band cry
补标，11集完结1213放第二季预告就好了,7,推荐,2026-4-2 22:34,葵Conyza,431767,girls band cry
摇滚之真谛，即为呐喊！,9,神作,2026-4-1 23:37,阿炜.jpg,431767,girls band cry
比我想象中的有趣太多了,8,力荐,2026-4-1 23:08,露琪亚,431767,girls band cry
歌好听,8,力荐,2026-4-1 21:09,qi77714,431767,girls band cry
【7】，前面不错，结尾差了点,7,推荐,2026-3-31 11:13,樱姬花吹雪,431767,girls band cry
动画演出效果很好，我也很喜欢这部的人设。但感觉乐队有点太过顺了,8,力荐,2026-3-28 15:50,动画爱好者,431767,girls band cry
制作确实好，东大妈牛逼,7,推荐,2026-3-28 14:42,今天的世界也很和平 ...,431767,girls band cry
情感细腻，节奏顺畅，故事完整，乐队题材佳作。外耗型性格确实有趣，看着一点不费劲。总的来看剧情结构太像花田的lovelive了，依旧开局组个小团体，然后扩充成员，临近结局时再戏剧冲突一下，甚至对手团起的作用都很像，不过明显gbc处理的更好，剧情线索回收的更有水平，最后的转折一点不显得生硬。除了剧情我还挺关注本作的3d，处理motion capture dataset处理的已经对这种东西有ptsd了，手部动作不如2d动作精细也符合我的认知。,7,推荐,2026-3-28 01:24,SkyRainWind,431767,girls band cry
在和孤独摇滚，mygo里面现实元素最强的一部。不过比较深入讲的只有主角被霸凌辍学后的成长。其他部分正常走辍学组乐队流程。路帕和昴比较招人喜欢。高技术力2.5d非常提高角色的可爱程度和演出花哨程度。,8,力荐,2026-3-27 23:40,卡面,431767,girls band cry
"我真的受够了少女婊子乐队了
搞几个不上学的婊子凑在一起大吵大闹就他妈能大获成功，可去你的吧",1,不忍直视,2026-3-27 01:25,秋山秋山澪,431767,girls band cry
"小曲上头捏，喜欢；
二编，主角怎么是个疯子啊woc;
三编，令人胃痛的爱情故事",7,推荐,2026-3-26 19:40,芝世咚,431767,girls band cry
比mygo那群精神病好多了，剧情生草,8,力荐,2026-3-24 21:05,南蛮,431767,girls band cry
光看live也够爽，剧情没什么好评价的,7,推荐,2026-3-24 15:21,叶樱雫,431767,girls band cry
比较经典的少女乐队剧情了 不过音乐番 歌好听是最重要的,7,推荐,2026-3-24 13:32,再次追逐夏天.,431767,girls band cry
写的非常不错，少女乐队成员各有成长（除了本身就很成熟的卢帕）， 最终带来了非常摇滚的少女乐队演出，让我听歌体会溜冰的感觉。,8,力荐,2026-3-23 02:47,loglook,431767,girls band cry
不得不说2024年4月新番是有水平的，三个百合原创烂尾了两个，但隔壁夜水母似乎要风评差很多（?）,6,还行,2026-3-22 23:07,irohard,431767,girls band cry
一般般,6,还行,2026-3-21 16:13,宁子,431767,girls band cry
第一集的空之箱，第五集的视界一隅，腐朽之声，第十二集的命运之花，mmk和27的相互拯救，可爱的486与精彩的单人回，27与父亲和阳菜与钻尘的和解，27与mmk的坚持。gbc有如此多的优点，也存在虎头蛇尾，种种的缺点，但就像冰菓和古利特里所说，处于节能处于无聊的人，总是希望会有一个人，一个东西可以将他们从“无聊”中拯救。在24年已经对动画有些懈怠的我，在那个4月，gbc只用第一集就拯救了我，或许在冷静下来我可以说出它太多太多的缺点，但动画对一个人的意义所在，就在于那几个瞬间，所以在我这里gbc是永远的9分。,9,神作,2026-3-21 11:02,saberll14,431767,girls band cry
"总体推荐一看
先说优点：得益于3d制作带来的极其灵动的表情动作，以及live下的大动态运镜让人看的很舒服
除此之外我能看到的全都有点小问题：相比较之下的2d动画太差，看了流畅的3d，下一秒镜头一切，给到一个卡顿的2d动画的割裂感太强，十次有九次得出戏。
剧情方面只能认为是标准的主角带着大家一起走的感觉，只有个别集处理了成员间的矛盾，其余几乎全是无脑跟着队长走，而且在队伍里有阅历明显更深的两个大朋友在的情况下，我只能认为这是为剧情所做的妥协
在故事所想表达的方面，我感觉制作组想触碰的问题太多，太深，以至于短短的13集根本表达不清，结果是草草收尾，实在可惜。",7,推荐,2026-3-21 00:23,平泽祈,431767,girls band cry
我喜欢他们经历了世界的黑暗也要坚持下去的精神,8,力荐,2026-3-20 23:21,林恩,431767,girls band cry
看的最舒服的一个乐队番 必须力推 观感很舒服,9,神作,2026-3-20 03:10,椎名真昼,431767,girls band cry
收尾方式可以说草率到比mujica还恶劣，完全无法接受。音乐节后剧情的内容跟节奏跟前几集完全脱节。而在文无第一，并且没有给出一个让人信服的标准的情况下评判音乐高低，本身就是一件很难绷的事情。,6,还行,2026-3-20 01:08,Orange_JAMGO,431767,girls band cry
bang系列看的第二部，剧情是不无聊的，一直希望看下一集会发生啥。但感觉剧情推进挺慢的，到最后感觉很多东西都没讲就完结了，角色有成长空间但没有写，好在后面还有续作。,7,推荐,2026-3-19 17:02,抱茜赤音是我7,431767,girls band cry
原来我都这么大年纪了,10,超神作,2026-3-18 21:54,massacrePoshlust,431767,girls band cry
原来乳了，这下更好看了//顺手二刷//总的来说前11话的节奏我确实非常喜欢，无论是日常、矛盾冲突还是歌曲，但是后两集确实充斥着强行剧情杀、包饺子等等问题，有狗尾续貂的嫌疑。要我说最好的处理方式就是第11话后接续作制作决定，不过考虑到经费和工期有点不可能（笑）,9,神作,2026-3-18 03:03,Shiina_Mahiru,431767,girls band cry
比mygo好,7,推荐,2026-3-17 22:49,御神衔一,431767,girls band cry
史上最摇滚的乐队番！最喜欢花田的魔法了.jpg,6,还行,2026-3-17 02:21,洛塞塔冻鱼,431767,girls band cry
这期神了，前面还有一点文戏讲一讲这个现实逻辑，讲一讲这个过往什么的2，后面逐渐猎奇向脱离实际，而且很明显的为了爆而爆全是女女关系性全是爆，开始小头控制大头开始瞎几把写圆不回来了，让后==然后依旧经典公式化打法开个live屁事没发生，花田你真他吗傻逼啊又搞伏笔又不出2。不过很有青春感是真的，中专能没青春感不。,7,推荐,2026-3-16 15:09,穗娜,431767,girls band cry
歌好听，可惜nina没什么剧情,8,力荐,2026-3-15 21:17,天成,431767,girls band cry
剧情老套，给我看睡着了，奇怪的氛围特效比较出戏，明明5个人的乐队，却基本只围绕着nina和mmk与隔壁钻石星尘的爱恨情仇写，486就负责给她俩不分场合不看氛围地爆来爆去打圆场，剩下俩纯工具人。live片段太少，镜头晃得我难受，很多细节逻辑上也很奇怪，结尾非常仓促。看下来唯一的记忆点是写亲情那一集，以及nina的cv表现不错,3,差,2026-3-15 20:16,洛汀,431767,girls band cry
【9】青春的呐喊，本作的音乐是真劲，虽然后续剧集稍显乏力，冲着冰op和小孩姐的成长给个好评,9,神作,2026-3-15 16:46,PlumTT,431767,girls band cry
最后一集有点仓促，一开始是真的没太懂为啥要退社，现在感觉可能是她们的歌带来不了收益，桃花的歌也不需要做出改变的想法吧,7,推荐,2026-3-15 14:29,幽梦,431767,girls band cry
结尾包饺子没绷住,7,推荐,2026-3-15 02:32,Aphiria,431767,girls band cry
3D质量非常好，东映做的还算不错。剧情还算可以，青春感太强烈了，大家性格都好扭曲。音乐质量也都不错，但是每次的live都看不过瘾就没了，音监在干嘛呢。结局感觉好草率，完全没意识到是最后一集，纯纯过渡回的感觉，然后就结束了，看着好不爽。看在原创份上，也还算可以了。,7,推荐,2026-3-15 00:13,白水可可,431767,girls band cry
少女乐队题材的剧情还是那么老套。人设和3D技术倒是挺不错,6,还行,2026-3-14 23:22,N姓家奴,431767,girls band cry
不过不失，结尾仓促了，东映你还能搞出第二季吗,7,推荐,2026-3-14 23:06,CannedPotatoes,431767,girls band cry
看不懂最后一集，说实话不如mygo,7,推荐,2026-3-14 19:34,阿苏ka,431767,girls band cry
3D的质量非常高,7,推荐,2026-3-14 18:13,昼唯,431767,girls band cry
喜欢tomo,7,推荐,2026-3-14 09:49,莉可雨咲☆,431767,girls band cry
2025,0,未评分,2026-3-13 17:18,Kekezero,431767,girls band cry
结尾有股虎头蛇尾的感觉,8,力荐,2026-3-13 03:17,江湖,431767,girls band cry
还不错，最后结束得有点仓促。动画制作做得很棒。,7,推荐,2026-3-12 22:18,SlayerYJC,431767,girls band cry
"去你的读空气，去你的人情世故，有事直接爆，这可太摇滚了好吧。
演出拉满，角色塑造大成功，主线差点意思，让人眼前一亮的好动画。",8,力荐,2026-3-12 21:25,NeverMOrE,431767,girls band cry
说实话，高了，结尾影响还是很大的,6,还行,2026-3-12 11:38,格拉,431767,girls band cry
这部乐队作品真的在讲音乐。这是我看了这么多乐队作品里唯一真的提到音乐的。所有的乐队番都是围着人在做文章：人有矛盾了，人闹情绪了，人在搞笑了，人要在舞台上闪闪发光。可是gbc让观众知道，现代人做一首歌是分几步骤，有先后，要宣发的。梦想不能当饭吃，但是把米放进锅里的这一步可以,9,神作,2026-3-12 05:23,osososo,431767,girls band cry
情绪旋风，席卷四月。当隔壁夜晚水母不会游泳中道崩殂之后，GBC扛起了原创动画的大旗，基本圆满地延续到了最后。 监督酒井和男与脚本花田十辉的表现亮眼，在美少女X乐队的框架内，加入了一点点摇滚的香辛料，以及各个成员之间那股执拗的青春感，虽有些地方用力过猛，但作为一出故事而言恰到好处。虽第一季故事显然没讲完，但总体没太大问题。 以及最后，技术在强到某种程度的时候，则足以成为内容，同时又反哺于内容，本作的超精良3D就隶属此类。东映再一次向业界展示了哪怕是TV，3D都可以做到如此恐怖的水平，制作单独再加一分 [24.6.30; 25.1.2 二周目; 26.3.12 三周目],8,力荐,2026-3-12 01:08,Rika,431767,girls band cry
弹幕真一群弱智，什么对错什么审美就在这叽叽喳喳的//////3d的上限真的非常高，缺陷多但是演出，神态表演刷新了我的认知，这几位小孩姐的动作和面部表情真的可爱，看的出来废了很大劲做出如此精彩生动的动画，，推荐大家都可以看看/////群友说的也没错，歌曲是很好听，但歌曲仅停留在现代流行的层面，水准高但重复过多，风格单一，这也是桃香的劣势或者说是制作组的劣势，，希望第二季赶紧出来////再说一遍正论不代表就是不对，况且仁菜的这次正论完全没有毛病，否认的人是因为什么？社会的正论吗，你看现在世界都变了一番，那有那么那么多正确和错误，按照最舒心最合情谊的做法去做错也不会后悔！这也是最后小孩姐的话！期待第二季！！,8,力荐,2026-3-11 23:20,凉宫春日的野望,431767,girls band cry
mmk daisuki❤️,8,力荐,2026-3-10 23:57,自行八卦炮,431767,girls band cry
在我心中它不是最好的动漫，但是是我最喜欢的动漫,9,神作,2026-3-10 21:03,鸢尾,431767,girls band cry
来当非国民了,0,未评分,2026-3-10 21:01,见到老女人我就想死,431767,girls band cry
剧情不评价，歌爆杀网红队_(:з」∠)_,7,推荐,2026-3-10 06:30,二少-decade,431767,girls band cry
后面有些仓促，但前面确实好，乳+1,9,神作,2026-3-10 04:15,姬坂乃爱,431767,girls band cry
过载燃烧，没撑到最后，但前面实在是太灿烂了,0,未评分,2026-3-10 02:33,克劳德块,431767,girls band cry
近几年难得感觉不错的乐队番,7,推荐,2026-3-10 01:57,Yuuikic,431767,girls band cry
讨厌ep10，13,5,不过不失,2026-3-10 01:24,绳梦,431767,girls band cry
最后live不放完你是人吗？还有你们五个人还能线下开live不？（另外三人还能复活吗？2026.3.9）,7,推荐,2026-3-9 22:09,花川芽衣子,431767,girls band cry
前半很好看，最后一集稍显仓促,8,力荐,2026-3-9 15:37,adsert,431767,girls band cry
校园霸凌扫码了,6,还行,2026-3-9 11:29,Altair yyds,431767,girls band cry
音乐很好听，制作精良（这就是钞能力吗，之前没适应3D的可以由此入手），剧情只能说及格。相关二创氛围较浓厚,7,推荐,2026-3-9 09:43,狸花代雨,431767,girls band cry
所有人都成長了，除了妮那只會喊我沒有錯，你是挖他妹嗎?,8,力荐,2026-3-8 22:20,両儀アキ,431767,girls band cry
个人最爱的音乐番,9,神作,2026-3-8 16:26,若为弘柒,431767,girls band cry
支持波多黎各独立，是反美反帝动画！这下不能不多给颗星星展现支持了！,9,神作,2026-3-8 15:25,laza,431767,girls band cry
7.2 原来东映也要吃大少女乐队时代的宏利吗，我说年轻人看的第一部东映动画（。确实是有点为了摇滚而摇滚了，本质少女偶像乐队。不过歌好听。东映的3d确实有点烧钱了。,7,推荐,2026-3-8 06:53,gachi,431767,girls band cry
乳+1 车软-1 不变,8,力荐,2026-3-7 23:10,无核乞灵,431767,girls band cry
辱了加一分。,8,力荐,2026-3-7 17:40,John史密斯,431767,girls band cry
动画本身就没问题你打低分就很无脑，话又说回来了，闹乌龙事件本身非蠢即坏，这么不严谨，你还玩啥啊，基本道歉一套就能平息一般怒火，故意装死?,0,未评分,2026-3-7 01:07,SAI,431767,girls band cry
打低分的原因应该都清楚，不管是故意的还是运营失误，这都是毋庸置疑的事实。,1,不忍直视,2026-3-6 19:36,凉森白,431767,girls band cry
刚开始听说是3d本来没想看的，结果质量高到这种程度么，qwq,9,神作,2026-3-6 12:03,狼鸟,431767,girls band cry
"7.5/10 
几部热门少女乐队番里，GBC那后硬核、EMO曲风是我偏爱的，写得也确实好；可令我惋惜的是，GBC剧作完成度偏弱。
开篇把舞台放到了更广阔的世界，承载更多话题：独居、生存与梦想、独立与主流对抗、对风格的坚持或妥协…无不带有现实色彩、可展现角色做选择的能动性。可惜剧作似乎害怕把冲突写得出格，始终束手束脚，后五集尤其最后两集非常乏力，乐队事业、人际矛盾和解都进程仓促。仁菜出走后家人妥协、乐队演出反响好而新歌数据惨淡、反目的旧友想帮自己…这些困难像障碍赛关卡，给角色提供奋进、努力的理由，却未曾真正让角色陷入危机。而冲突的解决，经常是仁菜爆发宣泄，哪怕这番标题有“呐喊”，这喊口号的作用也太强了…Hina角色线失败，本应与仁菜相对照，但其描写缺失，沦为行为突兀的工具人。
不过因为对仁菜某些经历有共鸣，再加上视听体验好，追番过程还算享受。",7,推荐,2026-3-5 20:29,雪岭Snowii1999,431767,girls band cry
"叙事: 剧情85 节奏93-5
画面: 演出93 精度95
音乐:85
人物: 塑造85 配音100-5
总计:7.3
简单来说，此番最大的优点是——爽。这是一种压抑已久的情感瞬间迸发时的爽，搭配上音乐，能很好地调动观众的情緒，使人沉浸在当下的酣畅淋漓中。当然这同样离不开剧情的铺垫，正是由于前文不断地为高潮添柴加薪，才能够在高潮时一口气点燃观众的情緒。
当然缺点也有，首先纵观整个番剧，基本上只写了仁菜和桃香，486的故事说难听点叫烂尾，其他两个人更是一笔带过。而且最关键的是花费大量笔墨描写的仁菜和粉毛的矛盾，仍然写不明白，讲不清楚。其次是结尾两集叙事节奏明显加快，最难绷的是两集以内人物反悔了三次！令人忍俊不禁。
尽管结尾的剧情处理得不是很理想，但是好歹没有什么逻辑硬伤三观崩坏，而且前面第八集和第十集的优秀同样不可忽视。
总评:瑕不掩瑜。",7,推荐,2026-3-5 16:34,黄昏逐光,431767,girls band cry
流畅的3D人物动作，完全没必要搞成24帧，剧情目前还没崩，可以了,8,力荐,2026-3-3 22:43,打磨仙人,431767,girls band cry
歌很好听,8,力荐,2026-3-3 16:14,Lightice,431767,girls band cry
永远爱nina,10,超神作,2026-3-3 14:14,喀巴拉契,431767,girls band cry
雖然製作不錯 但劇情差點意思,6,还行,2026-3-2 15:23,歐洲豪傑,431767,girls band cry
3d画风不对我胃口 第一集云里雾里劝退,3,差,2026-3-2 02:44,睦月在逃男友,431767,girls band cry
这谁家小孩 怎么还竖中指呢,7,推荐,2026-3-1 10:16,马鹿野狼,431767,girls band cry
原创的神，mmk我是您的狗，乐队番前2，求出第二季,8,力荐,2026-3-1 07:30,早见,431767,girls band cry
ep10神回，单集可以给满分，算上之前的综合9分，可惜最后一集拉了，小孩姐性格还是有点欣赏不来，单论对于该不该帮被霸凌的那件事我还是站Hina那边，小孩姐这不纯引火上身了，看的头疼，但是动画制作确实精良，最终在7分和8分中选了8分，感觉给7太低了，8分偏高但是四舍五入可以给到8，至少比隔壁卖狗和母鸡卡那帮老娘们逼逼赖赖你推我搡强太多了,8,力荐,2026-3-1 01:24,日傘星雨,431767,girls band cry
技术力没话说，结尾太仓促,6,还行,2026-2-28 21:36,Roxy1314,431767,girls band cry
（补档2024.12）作为一部日式少女乐队番，歌很好听，live的3d也很灵动，但是对于后来的两人组的安排不太友好，一直在解决的“做自己喜欢的音乐”其实并没有完全实现，回到了一开始的窘迫境地，希望有剧场版能够给出答复,7,推荐,2026-2-28 16:17,ANR,431767,girls band cry
GBC在画面表现这一块确实没的说，但剧情上的缺点也无法避之不谈，叙事的编排不太合理和13集TV动画的剧情容量导致结尾有些匆忙，甚至可以说是比较烂 然后是hina的人设从最后一话才开始立，明明是贯穿小孩姐一整个心理活动的重要人物，结果看下来似乎有没有都一样,6,还行,2026-2-28 13:11,🐷🦌🦊🦈🥥,431767,girls band cry
第一集观感很差，主观评分5分。宣传插画有多好看就衬得3D正片有多寒碜。从第一支单曲发布开始关注，到正片开播感到很失望，正片质量不如单曲PV，模型动作粗糙，表情总是过于夸张不够细腻，剧情发展生硬，讨论度全靠刻意meme化的镜头带起来，令人反感。希望后期角色全部正式出场开始铺陈之后能补足吧。第二集观感比第一集好很多。,6,还行,2026-2-28 04:54,ココアちゃん,431767,girls band cry
3d很优秀啊 演出 音乐什么的也很优秀 剧情前期挺精彩就是有点虎头蛇尾啊 还不错吧,7,推荐,2026-2-27 23:28,Kekdj,431767,girls band cry
求求东映再砸点钱出第二季吧,9,神作,2026-2-27 21:03,虹夏妈妈,431767,girls band cry
