text,label,source,anime
"高一看的eva，现在已经大二了。
这部作品真是影响了我很多，肯定也影响了超过一代人。
去年上映院线的时候，因为我去的是GCV影院的特殊场，影院里坐的满满当当，有和我一样同龄的人，也有3040岁的叔叔和阿姨。

30年，漫长的补完。

这部作品里，我一直都对绫波丽这个角色情有独钟，她因为碇真嗣而形成了自己的人格，获得了自己的灵魂，因为自己所爱之人学会了爱，从空壳，转变成了一个具体的有血有肉的少女。
明日香，祈求着爱与关怀的少女，但最后她却只能作为见证者，旁观者，然后独自舔舐自己的伤口，麻痹自己要坚强的活下去。她热烈明媚，却又有时候敏感疏离，值得痛心。
看到电影最后碇源堂向真嗣阐述内心，揭露伤口的时候，我也是彻底没绷住，不争气的流下了眼泪。他与唯相遇，最后又失去了唯。他失去了自己唯一的光，唯一的慰籍。
大概我窥见了我的未来，便有点黯然神伤。
大家都长大",positive,bangumi,新・福音战士剧场版：终
回复 夏夏呀owo 遇到你使我脱离了1111,negative,bilibili,Angels of Death
ob一串字母女士上线了,negative,bilibili,少女乐队的呐喊
回复 花阳是的就是我 哈哈哈哈哈这个好好笑 hou hin fen no！,negative,bilibili,间谍过家家 粤配版
疑似C44全油的下场（Doge）,negative,bilibili,少女乐队的呐喊
这是不是可以遛魔王（bushi,neutral,bilibili,转生成蜘蛛又怎样！
jio尼jio尼你在偷吃糖果吗,positive,bilibili,四月是你的谎言
妖怪我磕的CP怎么ed了,negative,bilibili,夏目友人帐 第七季
10分，近十年来最好的恋爱喜剧番，没有之一。在党争充斥的年代有一部双箭头的纯爱番是真的不容易，想为了剧情延申搞拉扯可以理解，但很少能有辉夜大小姐这种剧情有趣又合乎逻辑的拉扯，而且本身性格刻画丰满且舒服，不会让人觉得别扭或者难绷。其实算是老套的富家千金爱上努力穷小子，但为了所谓的大小姐身份去争夺所谓的恋爱主动权，剧情还是够有趣的。虽说漫画后面有段很难绷，但最后happy end了还是值得一看的。,positive,bangumi,辉夜大小姐想让我告白-超级浪漫-
2025年11月14日回顾。我对前三季的喜爱不会影响我对最后一个篇章以及结局的失望（直到现在已经多次回顾前三季的动画，但最终季开始直至结局看过一次之后就再也无法看第二遍），同样地，我也不会让我对结局的失望影响我对前三季的喜爱和评价。《进击的巨人》season3 part2毫无疑问是可以载入动画史册的动画，在动作戏和文戏都达到了巅峰造极。至今仍然记得2019年夏天每周最期待的就是巨人，以及即使看过漫画，但看到ep53完全試合（）、ep54勇者、ep55白夜依然会震撼不已。,positive,bangumi,进击的巨人 第三季 Part.2
ffxxc,neutral,bilibili,鬼灭之刃 柱训练篇
el psy congroo！,positive,bangumi,命运石之门
回复 Lisps 动画不是xzp，xzp的主板在右侧（因为侧面指纹），电池居左（从背面看），而且xzp的背面是亮闪闪的，这个应该是亚光（疑问）。。。,negative,bilibili,辉夜大小姐想让我告白～天才们的恋爱头脑战～
"剧情15
演出16
音画16
人设16
深度14
加权评分156
三巨头确实塑造的很好，其余真就一般了，ep1 23 24可以",positive,bangumi,偶像大师
回复 SMKT 486的前世是大贤者咯 然后贝蒂跟他有来往  是这样吗,negative,bilibili,Re：从零开始的异世界生活 新编集版
先看的母鸡卡，这部前期感觉比母鸡卡要能下咽，但还是要吐槽这帮木柜子，遇到点逼事就要么逃跑要么装死，一个个的谜语人说不清自己的想法，但是第6集首次live挺好的，后面叙事好多了，到了第十集和解做的还是很感人的,neutral,bangumi,mygo
截止目前动画生涯里最好的机战动画（制作层面）。看之前做了诸如看完一点都不懂隐喻该如何查阅社科资料论述CCA剧情等等的心理准备，但实际看的时候满脑子怎么这剧情这么好笑，我草这机器人作画太牛了，根本没空想这剧情有啥键的地方。2个小时被各种信息量塞的满满的，冷静下来想想其实富野在经历了0079，z，zz对新人类的三次诠释后，最后再次回到了阿姆罗和夏亚上，撕开宏大的想让世界立竿见影做出改变的幻想后，落到个体上，这两个人的斗嘴也不过是做为人最不体面的一种相互理解，而紧随其后的人心之光，可能也是富野内心的希望吧。,positive,bangumi,机动战士高达 逆袭的夏亚
这s猫有b吧,neutral,bilibili,颂乐人偶
然而这只是平a里的平a了,negative,bilibili,Fate/Zero 第一季
川崎极光7（bushi,positive,bilibili,少女乐队的呐喊
回复 bili22961401882 滑鬼头吧，现代妖鬼，爱吃醋的雪女我能想到的就这个动漫了,positive,bilibili,虚构推理 第二季
回复 fysgj 她是个木头啊木头（吸氧）,negative,bilibili,葬送的芙莉莲
bang高祖，里面好像也有这样的武道馆哎,positive,bilibili,少女乐队的呐喊
回复 KiShiomi 哈哈哈哈哈哈所以JW没安排洞哥在周三，洞哥不服,negative,bilibili,异度侵入 ID:INVADED
还没到B2呢，你急啥？,positive,bilibili,Angels of Death
回复 赤蛮奇alpha 79话结尾,negative,bilibili,总之就是非常可爱 第二季
奶奶：你们怎么教的486486回家说要搞乐队（bushi）,neutral,bilibili,少女乐队的呐喊
回复 妃子Darling 拔不拔？20一位,negative,bilibili,国王排名
才忘了c姐对扎克做的事了是吧都在那说c姐好看,negative,bilibili,Angels of Death
spdjkxs,negative,bangumi,瑞克和莫蒂 第一季
幻视shiho,neutral,bilibili,少女乐队的呐喊
主色调由深绿变为橘色，配音重制和更改了一些3DCG。如果说在前网络时代，与芯片颜色相似的深绿色是计算机产业的象征和对网络时代的展望的话的话，那么到了网络时代的今天，偏暖系的色调可以看作是在业已迎来的网络时代中，我们的灵魂的徜徉，3DCG带来更加充满魄力的片尾镜头，当年站在时代前端的攻壳机动队的新的演绎，想想还是和95版一样打满分吧,positive,bangumi,攻壳机动队2.0
祥子负责拉引线，喵梦负责点火，你俩纯祸害。纯粹的商业行为与私欲的结合，没有一点乐队的样子。用脚写出的剧本，还连累了mygo。两季看下来还是猫猫最好最纯粹，也最有少女有乐队该有的样子。番名叫mujika，结尾却是mygo在致谢，13集，你mujika又有多少内容呢。,negative,bangumi,颂乐人偶
啊米pro MAX,negative,bilibili,鬼灭之刃 柱训练篇
3分合格线标准。相对少见的不像主流偶像剧情的偶像剧，百合腹黑天然一个不落却也一个也不出彩，尽管比起最初的3季总算是剧情翻天，但这人物情绪转变堪比中了催眠app，“我来是终结这个band的”然后被拉上台瞬间上梁山喵喵喵？另外所以说开篇首scene某人要离开band的原因是下季才填？为了Ave Mujica这碟醋包了4季饺子让人拭目以待PS现役高中生时得出的“一瞬一瞬组成一生”的积分思想在本作最后被提及hmm百合纷争团用这个升华实在有点微妙www,negative,bangumi,mygo
ob一串字母,negative,bilibili,mygo
回复 bili65720844137 我：远程杀队友？流啤！,negative,bilibili,异度侵入 ID:INVADED
手工队VS机械队,positive,bilibili,紫罗兰永恒花园
SMW工法桩doge,neutral,bilibili,比宇宙更远的地方
动画史之选。不被定义的utena，继承自日本新浪潮，声画的错位，寓言式的广播剧，浪漫的蔷薇决斗，象征主义与超现实主义层层叠加，为反复观赏留出广阔的个人解读空间，堪称深度剖析的绝佳素材。监督以非传统的说教式叙事逻辑，从质疑并直面社会性别角色与理想，到解构虐待操控型关系，揭露不公的等级制度，剖析核心家庭的虚妄，批判现状灌输与顺性别异性恋规范，在旧有父权秩序枷锁下自由意志的抗争，以非传统的影像体系来突破动画的规则与边界。,positive,bangumi,少女革命
i don do no（bushi,negative,bilibili,少女乐队的呐喊
"【S】 富野在这部作品中达到了“春秋笔法”的极致，写主要人物的故事，还能勾勒出背后整个战场的局势，在看似平常的对话中可以透过多个角度去推测故事的全貌，理解这部作品真的需要大脑一直运转。
相互的温柔可以打开未来，在对战争悲悯地描写数十集后，结局却是如此的温暖动人。人类一定可以互相理解的，这是富野在看透所谓“人”以后，唯一能给出的愿望，他或许是厌世的，什么都反对的，可这种人都没有抛弃“人的奇迹”。那么我想，人类也一定会温柔的。",positive,bangumi,∀高达
回复 旋转小火鸽 heaven39s feel和06的fatestay night,neutral,bilibili,Fate/stay night [Unlimited Blade Works] 第一季
TuT,neutral,bilibili,Angels of Death
好家伙600赞能干过下面1w赞的,positive,bilibili,关于我转生变成史莱姆这档事 第二季
mikasang,neutral,bilibili,四月是你的谎言
前面co玩家别走,negative,bilibili,少女乐队的呐喊
fever充满啦，银河战舰启动,neutral,bilibili,颂乐人偶
如果一部作品只有历史意义，那么它没有任何意义还好这部影片不是那样的作品爽片，在这种意义上和sac1气质接近（ “我们不知道我们要什么，我们只是知道，我们要的不是这个”,negative,bangumi,大闹天宫
你不是来劝他的吗？你自己怎么emo了？,negative,bilibili,鬼灭之刃 柱训练篇
maybe I do something like thsi,negative,bilibili,比宇宙更远的地方
武道馆major,positive,bilibili,少女乐队的呐喊
mmk和小孩的吵架次数太多太激烈 我都忘了第一次公共场合吵架是486,negative,bilibili,少女乐队的呐喊
wow这幅画好有神性,positive,bilibili,关于我转生变成史莱姆这档事 第三季
"T2 B2 经典的“男孩遇见女孩”式冒险童话。影片构建了一个极其瑰丽的飞行梦境，拉普达的废墟美感与久石让的配乐完美交织，视听层面的完成度无可挑剔。然而，剧本走向显得过于四平八稳，标准化的叙事模式虽然流畅，却也因缺乏变奏而显得略微套路。这种极致的纯粹虽然动人，但在情感厚度与惊喜上稍显单薄，难以留下深长的余韵。
作品简析：作为正统王道冒险动画，本作以寻找传说中的飞行城市为线索，构建了一场充满想象力的空中传奇。影片将少年的纯真梦想、少女的身份之谜与反派的权力野心巧妙交织，在跌宕起伏的追逐中展现了关于勇气与责任的真挚赞美。其核心魅力在于极致的飞行浪漫与鲜明的善恶博弈，结尾处对权力的弃绝，将故事升华为对生命根植于土地的温情回归，闪耀着极其纯粹的英雄主义光辉。",neutral,bangumi,天空之城
有点忘了，但x2时f（x）为0，（1，2为负数，（2，3）为正数，在某些条件下确实需要分开算，而且下面他不是取了反吗，可能是忘了写绝对值,negative,bilibili,总之就是非常可爱 第二季
毕竟米兰乔cv是坂本真绫,positive,bilibili,国王排名 勇气的宝箱
好喜欢tvt,positive,bilibili,四月是你的谎言
这猫纯cs，正宗cs,positive,bilibili,颂乐人偶
凶真：发送Dmail吧！,negative,bilibili,魔女之旅
hhhhc,neutral,bilibili,比宇宙更远的地方
回复 Archbishop 太刀！平板！小丛雨！,negative,bilibili,因为太怕痛就全点防御力了 第二季
11111lIII,neutral,bilibili,Angels of Death
前面那个说宁宁的没救了，ciallo,neutral,bilibili,魔女之旅
F22编队正在穿越2号区域请注意警戒周围空域！,negative,bilibili,魔女之旅
什么killkiss,neutral,bilibili,异度侵入 ID:INVADED
不！！！！！！！！！！！！！！dw,neutral,bilibili,鬼灭之刃 柱训练篇
明明灯变绿了，但是cy已经无法前进了,negative,bilibili,颂乐人偶
hhhh橘子树hhhh,positive,bilibili,Angels of Death
com,neutral,bilibili,四月是你的谎言
回复 Alex06826 漫画ren,negative,bilibili,辉夜大小姐想让我告白～天才们的恋爱头脑战～
为闪闪打call,neutral,bilibili,Fate/Zero 第一季
我不行了，anin酱好可爱,positive,bilibili,颂乐人偶
客服娘想要一个欧尼酱。gtlto,negative,bilibili,干物妹！小埋R
kevin penkin无敌了，永爱,positive,bangumi,来自深渊 烈日的黄金乡
到Gboy的地盘了,neutral,bilibili,颂乐人偶
我真的好怕到南极基地时，队长撤下幕布，这就是你们口中的EVA？,negative,bilibili,比宇宙更远的地方
按“F”踹出右脚,negative,bilibili,紫罗兰永恒花园
科幻成龙历险记or90年代港片。极契合的配乐是本作值得被首先夸奖的最大优点。而本作的浪漫，集中体现在与人相遇、分离所产生的情感刻痕，虽然套了西式牛仔的皮，但却让我看出一股中式仙侠的爱恨情仇，“相濡以沫，不如相忘于江湖”的情愫内核，颇有几分魅力。然而本剧的单元故事说不上有趣和新奇，演出尚可但实难称神，作画超越时代但难和今天的技术力相比，再加上薄弱的主线、老片普遍的镜头乱切（而且不舍得给能展示空间关系的镜头，经常分不清谁在对谁说话、谁在打谁）和细节粗糙的毛病（ep19减速逃逸真是让我一个本科学物理的难以吐槽）。关于评分，我的评价是要么承认现在的作品比起旧时代的作品就是有进步，那还可以对旧时代作品额外加分；要么用统一标准评价所有时代的作品。你不能只在吹捧旧时代作品优点时高谈阔论现在的番就是没有老番的味儿，而在谈论缺点时又说对旧时代作品不能用现在的眼光看,neutral,bangumi,星际牛仔
是shuo服shuo服shuo服，shui服的去翻汉语大词典,negative,bilibili,比宇宙更远的地方
Oh yeah,neutral,bilibili,Angels of Death
简直跟geass一样，另外那个火焰感觉好弱只能烧焦纸皮和棉花糖,negative,bilibili,Charlotte
回复 oHitomi 哈哈哈哈笑死,negative,bilibili,鬼灭之刃 刀匠村篇
kouno琴里哒,neutral,bilibili,约会大作战 第四季
怎么感觉大家都在猜jw是鸣瓢啊（思考）那我猜jw是局长,positive,bilibili,异度侵入 ID:INVADED
回复 池袋暴君平和岛wwwww对哇对，好暖男,negative,bilibili,在下坂本，有何贵干？
啊，kswl,neutral,bilibili,国王排名 勇气的宝箱
莫西莫西 代xo步,positive,bilibili,比宇宙更远的地方
Dev1ce对现在的Astralis有什么想法呢,positive,bilibili,少女乐队的呐喊
大型cosplay现场,negative,bilibili,Fate/Zero 第一季
着实crazy,neutral,bilibili,魔女之旅
4月是你的lay,negative,bilibili,四月是你的谎言
回复 Yizumi 你明知我已离不开,negative,bilibili,碧蓝之海
和part1完全不一样的感觉，个人观感要更好，仍然在异世界番里相当能打,positive,bangumi,无职转生～到了异世界就拿出真本事～ 第2部分
可能不算kirakira，但是不dokidoki吗？吓得dokidoki,negative,bilibili,颂乐人偶
BGM，one step,neutral,bilibili,比宇宙更远的地方
回复 showmakerrrrrrrr 被你这么一说更惨了,negative,bilibili,鬼灭之刃 刀匠村篇
某著名日系战力榜常客角色水银之蛇的咏唱就是Acta est fabula，写作见证未知之终末,positive,bilibili,颂乐人偶
今天的三首BGM都好神啊！！！！超喜欢！！！！,negative,bilibili,葬送的芙莉莲
md没反应过来说的什么语言,neutral,bilibili,四月是你的谎言 粤配版
ko no          da,neutral,bilibili,异度侵入 ID:INVADED
本集总结：素睦、素祥股跌停，minami睦妈邀请众人来家喵梦硬蹭睦妈把地下室借给小组（睦不愿意），众人（特别是喵梦）压力睦，初华祥子同居，睦说错了话“不可能长久”承受不了压力而崩溃僵在舞台上！,negative,bilibili,颂乐人偶
我值得纪念的第1000部补完的ACN作品本作的名字取得确实是恰如其分。在无疑是角色本位的剧作中上演的太空歌剧，比起历史，的确更像是英雄（们）的传奇故事。本作在人物塑造上确实值得称道，足够大的体量也给了人物弧光展现的空间，扁平人物与圆形人物并存，不如说本作绝大多数时候都是借由角色的人格魅力来支撑观感，其中当然首推杨威利、莱茵哈特和罗严塔尔。银英动画最大的不足就在于他在很多时候不像是“动画”，即影像表现上的缺失和演出上的贫乏，而本作对此所做出的弥补是让脚本占据作品构成的绝对重心，一些对政治的讥讽和“良言金句”式的台词也不乏正确性，而旁白的介入一方面充当仿佛来自未来的“讲述者”角色，从而给作品又增添一份史诗感；另一方面又难以避免地在部分过渡集数补全设定时显得有点念经。无论如何，各种意义上，银英都算是日本动画业界一个特别的存在。,positive,bangumi,银河英雄传说
"7
本以为是鲜有关注，结果是近年来中文互联网最出圈的动画ip之一。",neutral,bangumi,mygo
令咒那点没懂  是原先每个御主有三次强制命令从者的令咒  杀死cster可以得到神父一手臂的令咒  也就是更多次强制命令从者的机会吗,positive,bilibili,Fate/Zero 第一季
回复 Iam404ing 好的,negative,bilibili,某科学的超电磁炮
不愧是dps7999的狠人,positive,bilibili,颂乐人偶
灵感咕力咕力wajia灵感菇灵感菇,positive,bilibili,颂乐人偶
经典员工厕纸论。蜂四没有第一季那些看上去毫无意义也并不出彩的日常和搞笑段落的白开水稀释，只留下超高浓度的感情线和心理描写，是真的能齁死我。ep11有终结谷之战观感不错，真山和理花这对我最嗑的收得最完美，其他几人感觉只能算是“交代”，至于复仇线纯枸使。,neutral,bangumi,蜂蜜与四叶草II
Ke pu hao ping3,neutral,bilibili,Charlotte
"810
1995年创作出现在看也不过时的画面，确实牛。观影到中段时，觉得和同时代的《攻壳机动队》可以一拼。尤其看到1820集左右，情感渲染达到顶峰，剧情挖的坑也让人欲罢不能。
但是结局并没有把坑填上，大部分内容都是模模糊糊的。最后两集不仅没有填坑，反而开始意识流画面转换得挺有意思，但不知所云。
看了评论，应该要先看旧剧场版2《air》，之后会去补。但不管剧场版如何，本作自身作为一部完整的动画确实没有收好尾。",positive,bangumi,新世纪福音战士
这个b结界每时每刻都在浪费MA能源,negative,bilibili,转生成蜘蛛又怎样！
"9把我从gal撤回来看看动漫的存在，现在的视角来看确实有不少缺陷
渚不在的部分被人诟病是“后宫”，这个部分个人认为可以进行大砍，看没了都行
个人线各有优点，风子线琴美线智代线总有一条你喜欢的
不过悲观地说，cl已经在渐渐变成跟不上时代的老东西力（悲），在那个时代作品总是给我一种莫名其妙的感觉，是对个人启发吗？也不完全是，不过想必在当下，比起各种光怪陆离的作品已经不再那么有吸引力了吧（释然），mal上fll赢了钢炼，下一个是蕾塞篇，再下一个是什么呢
二刷，在我心中变强了，处处都是铺垫，可以说实在是太缜密了，几乎没有多余的镜头，但是仍然无法和演戏部分和解",positive,bangumi,CLANNAD
慕名而来ep2动漫人的热情ep5这黄毛也太了，导演这样黑自己真的好吗ww,neutral,bangumi,白箱
solo,neutral,bilibili,四月是你的谎言
回复 4Fy3ZSyI,negative,bilibili,小林家的龙女仆 第二季
结局《hurt》响起来的时候宛若回到了看《金刚狼3》的那个夜晚,positive,bangumi,瑞克和莫蒂 第二季
如果这部剧场版出在20年前那是神作，出在现在，除了它叫EVA，剧情并没有出彩的地方，只能说平庸，因为故事的人物解密，剧情故事，一切的一切都在这30年间的各种ACG作品里发生过了,neutral,bangumi,新・福音战士剧场版：终
Gaga,neutral,bilibili,关于我转生变成史莱姆这档事 第三季
hhhc 奇妙的服装hh,neutral,bilibili,比宇宙更远的地方
完了不会和go一样live后炸团吧,negative,bilibili,少女乐队的呐喊
我真的哭死 熟悉的BGM,positive,bilibili,国王排名 勇气的宝箱
或许是前面的编排太好了，后面第八集女主情绪爆发，意识到父母已去世的场景并没有让我有预想中的感动，可能是我不能感同身受，看不懂这部动漫吧，ep8最后两集还是很加分，有一种豁然开朗的感觉，而且整体的配乐是真顶级，牛尾还是太权威了，加05，ep13。,neutral,bangumi,异国日记
"最新报道，国际通缉犯，超S级国际特工，超S级超能力者，乙坂有宇在北京五环外遭到不明身份的群众使用弩箭袭击，身受重伤。关键时刻，首都公安干警在报警三分钟内乘坐直升飞机将其搭救。据悉，乙坂有宇在非法入境中国之前，一直致力于打击黑帮组织，组织犯罪行为，曾徒手防御手枪，冲锋枪，RPG，甚至高达的攻击。此次遭到弩箭袭击受伤据有关专家鉴定，是因为雾霾导致乙坂有宇超能力无法正常发挥导致。少年先锋队队员小芳在乙坂有宇受到致命威胁时见义勇为，但是警方提醒广大青少年，不仅仅要见义勇为，更要见义智为，避免自身受伤情况，如果发现犯罪现场请迅速拨打110，首都公安干警会第一时间抵达现场。现在外交部发言人秦刚正在与各国代表会谈，外交部发言人表示，鉴于乙坂有宇非法入境，但是由于其严重失忆以及其身体状况极为恶劣，将不会转交给任何国家和任何机构，将以难民身份遣返回到日本。
摘自《参考消息》2015年9月27日，海外版，新闻头条",negative,bilibili,Charlotte
BGM再次超神！OST买买买！不买不是人！,negative,bilibili,四月是你的谎言
幼儿园时就带给我欢乐的动画片，现在看这对猫和老鼠互相捉弄依然感觉不错。ep3以圣诞节为背景，很好地传达了节日的氛围，实在是既有爱也温馨。ep5角色的动作画得太有趣了。,negative,bangumi,猫和老鼠
本质还是氛围剧情的单元剧 要素齐全 各种脑洞大开的设定和思想很超前 但是本作并未选择深入讨论而是讲好一个个简单的故事  偶尔穿插段回忆讲述四人的过往（Ed好像工具人）感觉人物塑造有点慵懒    像是faye和jet的故事其实并没有讲清楚 spike的剧情算是最详细的 但关于他和julia和Vicious的爱恨情仇也一笔带过而归结为“宿命”  最后spike的告别确实有点浪漫了“我只是想确认自己是不是还活着” 如果钟情爵士乐或许会有更好的体验吧 最喜欢ep1016（都是jet的故事）,positive,bangumi,星际牛仔
kill,neutral,bilibili,魔女之旅
LZL你在看吧,neutral,bilibili,魔女之旅
owo,neutral,bilibili,四月是你的谎言
GHGJH,neutral,bilibili,四月是你的谎言
"我用谷歌翻译试了一下。。。 Ukirru（Ukerugt受接收？）
array做动词有部署的意思， Yaccu Posuk感觉像是俄语？
其中有两个非常长的词ruhhuquiciqap， ruhhuquicinmuhi 同有ruhhuqui前缀，不知道是不是个合成词。Ikunagu Qukahhagupunuiciq这两个词都是首字母大写，，，不知道啥意思。。。
yoqqanruq这个词重复出现了两次，谷歌识别是乌兹别克语pleasure的意思。。。
以维尔莉特直白且一阵见血的写作手法，她应该不怎么用主语。。。所以每句话第一个词应该是个动词？",negative,bilibili,紫罗兰永恒花园
我才发觉，编号FE应该是female女性的意思,negative,bilibili,JOJO的奇妙冒险 石之海
瓦达西瓦486desuwa,neutral,bilibili,少女乐队的呐喊
这样吗？我一直都是令（LING）音（YIN）零（LING）拼音来着,neutral,bilibili,约会大作战 第四季
輝夜第二季ED主題曲完整版指路BV1mk4y1r78U 福原遙演唱,positive,bilibili,辉夜大小姐想让我告白？～天才们的恋爱头脑战～
比起0079的崩坏z的作画好了不少，找补的是情节的谜语人环节大量激增，各路nt发功在宇宙上演斗法，前一秒阵亡后一秒脑内谈笑风生，生动演绎何为含笑九泉。强化人一个接着一个同样的戏码来了两三回也是看麻了，还能再没有悬念一些吗？中间的单元回少有亮点，挽尊哥维持着绝对会失败什么都没干成的单薄人设毫无价值，卡兹萨拉罗萨米之类的配角滥竽充数直至观感疲劳。从79和z来看富野大概是不屑于详细描写男女感情的，或者将其中的感动全都寄托于一方的死亡，只需要其中的虚浮着的联系建立起来，马上便可以加以升华为主旨服务。最后两集的进度倒是快得飞起，己方人员的牺牲数量很快堆了上来，急着谢幕连战场的格局也没能刻画出来，单纯是几个角色之间关系性的延申与终结。在一片疯狂和宁静的宇宙中结束的片尾倒是饶有趣味，毫不留情的战争把所有投入其中的人们全都吞噬。,neutral,bangumi,机动战士Z高达
回复 kirakira丰川祥子,neutral,bilibili,少女乐队的呐喊
beautiful world很好听,negative,bangumi,新・福音战士剧场版：终
saki酱saki酱saki酱saki酱saki酱saki酱saki酱saki酱saki酱saki酱saki酱saki酱s,negative,bilibili,颂乐人偶
aaa,neutral,bilibili,四月是你的谎言
